fold,train_end,test_end,return_pct,win_rate,num_trades,equity_after_fold,fold_seconds,params
29,2021-08-09 00:00:00,2021-11-09 00:00:00,0.0,nan,0,110261.62,24.1,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
30,2021-11-09 00:00:00,2022-02-09 00:00:00,-2.9706416491369456,0.0,3,106986.15,24.1,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
31,2022-02-09 00:00:00,2022-05-09 00:00:00,-2.0407582287181287,0.0,2,104802.82,24.7,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
32,2022-05-09 00:00:00,2022-08-09 00:00:00,0.0,nan,0,104802.82,25.1,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
33,2022-08-09 00:00:00,2022-11-09 00:00:00,-3.217870249889282,0.0,4,101430.4,26.1,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
34,2022-11-09 00:00:00,2023-02-09 00:00:00,-2.0147290044330295,0.0,2,99386.85,25.5,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
35,2023-02-09 00:00:00,2023-05-09 00:00:00,0.5013071345653152,50.0,8,99885.08,28.6,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
36,2023-05-09 00:00:00,2023-08-09 00:00:00,-5.833478741260987,0.0,6,94058.31,28.8,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
37,2023-08-09 00:00:00,2023-11-09 00:00:00,2.370915724975799,50.0,12,96288.35,29.8,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
38,2023-11-09 00:00:00,2024-02-09 00:00:00,2.4102222691613715,75.0,4,98609.12,29.5,"{""er_threshold"": 0.55, ""swing_lookback"": 30, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
39,2024-02-09 00:00:00,2024-05-09 00:00:00,5.906727081298057,100.0,5,104433.69,35.7,"{""er_threshold"": 0.55, ""swing_lookback"": 30, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
40,2024-05-09 00:00:00,2024-08-09 00:00:00,0.23802367116961975,50.0,4,104682.26,35.3,"{""er_threshold"": 0.55, ""swing_lookback"": 30, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
41,2024-08-09 00:00:00,2024-11-09 00:00:00,1.264527805999038,66.66666666666666,3,106006.0,37.7,"{""er_threshold"": 0.55, ""swing_lookback"": 30, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
42,2024-11-09 00:00:00,2025-02-09 00:00:00,-1.908483717677038,25.0,4,103982.89,32.5,"{""er_threshold"": 0.55, ""swing_lookback"": 30, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
43,2025-02-09 00:00:00,2025-05-09 00:00:00,4.0244754724925,63.63636363636363,11,108167.66,33.5,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
44,2025-05-09 00:00:00,2025-08-09 00:00:00,-2.788579323544007,33.33333333333333,9,105151.32,33.1,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
45,2025-08-09 00:00:00,2025-11-09 00:00:00,6.445251980444053,69.23076923076923,13,111928.59,33.9,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
46,2025-11-09 00:00:00,2026-02-09 00:00:00,9.84846856254767,83.33333333333334,12,122951.84,34.7,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
47,2026-02-09 00:00:00,2026-05-09 00:00:00,4.708577010311565,70.0,10,128741.12,34.9,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
