fold,train_end,test_end,return_pct,win_rate,num_trades,equity_after_fold,fold_seconds,params
32,2022-05-09 00:00:00,2022-08-09 00:00:00,0.0,nan,0,16875.82,23.9,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
33,2022-08-09 00:00:00,2022-11-09 00:00:00,-10.559059921007837,0.0,4,15093.89,24.9,"{""er_threshold"": 0.55, ""swing_lookback"": 10, ""atr_sl_mult"": 2.0, ""atr_tp_mult"": 3.0}"
34,2022-11-09 00:00:00,2023-02-09 00:00:00,-4.004533961351598,0.0,1,14489.45,25.7,"{""er_threshold"": 0.55, ""swing_lookback"": 30, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
35,2023-02-09 00:00:00,2023-05-09 00:00:00,2.612335116071379,50.0,8,14867.96,26.4,"{""er_threshold"": 0.25, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
36,2023-05-09 00:00:00,2023-08-09 00:00:00,-18.6061991101032,0.0,6,12101.6,26.7,"{""er_threshold"": 0.25, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
37,2023-08-09 00:00:00,2023-11-09 00:00:00,6.764781436184508,66.66666666666666,9,12920.25,26.8,"{""er_threshold"": 0.55, ""swing_lookback"": 40, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 2.0}"
38,2023-11-09 00:00:00,2024-02-09 00:00:00,1.955014744326021,66.66666666666666,3,13172.84,28.9,"{""er_threshold"": 0.55, ""swing_lookback"": 40, ""atr_sl_mult"": 1.5, ""atr_tp_mult"": 2.0}"
39,2024-02-09 00:00:00,2024-05-09 00:00:00,18.588477342246783,83.33333333333334,6,15621.47,28.8,"{""er_threshold"": 0.45, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
40,2024-05-09 00:00:00,2024-08-09 00:00:00,-10.50363790376138,28.57142857142857,7,13980.65,29.1,"{""er_threshold"": 0.45, ""swing_lookback"": 40, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
41,2024-08-09 00:00:00,2024-11-09 00:00:00,11.077883332375569,62.5,8,15529.41,29.6,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
42,2024-11-09 00:00:00,2025-02-09 00:00:00,-7.3777110614085695,33.33333333333333,9,14383.69,30.5,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
43,2025-02-09 00:00:00,2025-05-09 00:00:00,21.58045415164699,63.63636363636363,11,17487.76,31.0,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
44,2025-05-09 00:00:00,2025-08-09 00:00:00,-13.731312300496764,33.33333333333333,9,15086.46,31.7,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
45,2025-08-09 00:00:00,2025-11-09 00:00:00,26.163219030443507,69.23076923076923,13,19033.56,32.4,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
46,2025-11-09 00:00:00,2026-02-09 00:00:00,70.81302619468521,83.33333333333334,12,32511.81,33.1,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
47,2026-02-09 00:00:00,2026-05-09 00:00:00,44.210268616267776,70.0,10,46885.37,34.0,"{""er_threshold"": 0.25, ""swing_lookback"": 20, ""atr_sl_mult"": 2.5, ""atr_tp_mult"": 3.0}"
