<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.25	16:00:00	1424.41	1426.02	1411.91	1412.03	15966	0	24
2019.07.25	20:00:00	1412.03	1417.48	1411.03	1414.04	7466	0	23
2019.07.26	00:00:00	1414.07	1416.98	1413.47	1416.34	1962	0	24
2019.07.26	04:00:00	1416.41	1417.73	1415.23	1415.66	3568	0	25
2019.07.26	08:00:00	1415.76	1419.79	1413.85	1417.63	5810	0	24
2019.07.26	12:00:00	1417.63	1421.20	1413.35	1419.77	6300	0	23
2019.07.26	16:00:00	1419.91	1424.72	1416.96	1418.54	10981	0	23
2019.07.26	20:00:00	1418.54	1419.96	1416.32	1418.30	4252	0	23
2019.07.29	00:00:00	1418.69	1421.46	1417.99	1421.22	1840	0	24
2019.07.29	04:00:00	1421.22	1424.19	1419.66	1419.95	3726	0	23
2019.07.29	08:00:00	1419.90	1420.50	1417.36	1418.54	4296	0	23
2019.07.29	12:00:00	1418.54	1421.25	1418.23	1419.63	4721	0	23
2019.07.29	16:00:00	1419.69	1422.16	1414.68	1420.53	7864	0	24
2019.07.29	20:00:00	1420.53	1428.04	1419.69	1426.58	4404	0	23
2019.07.30	00:00:00	1426.52	1426.92	1423.71	1425.12	1902	0	23
2019.07.30	04:00:00	1425.08	1425.31	1422.21	1424.94	4030	0	24
2019.07.30	08:00:00	1425.02	1426.86	1422.64	1426.66	4879	0	24
2019.07.30	12:00:00	1426.66	1430.96	1425.47	1427.23	6996	0	23
2019.07.30	16:00:00	1427.23	1429.92	1424.77	1428.86	9155	0	23
2019.07.30	20:00:00	1428.86	1433.06	1428.56	1430.62	4235	0	24
2019.07.31	00:00:00	1430.79	1431.85	1430.42	1430.58	1578	0	25
2019.07.31	04:00:00	1430.58	1430.84	1427.56	1428.86	3883	0	24
2019.07.31	08:00:00	1428.86	1432.78	1428.70	1430.48	5705	0	25
2019.07.31	12:00:00	1430.42	1432.05	1428.99	1431.98	5010	0	24
2019.07.31	16:00:00	1432.00	1434.08	1421.98	1424.48	11826	0	23
2019.07.31	20:00:00	1424.55	1430.76	1410.39	1412.49	17876	0	23
2019.08.01	00:00:00	1413.42	1416.44	1405.70	1407.24	5340	0	23
2019.08.01	04:00:00	1407.24	1410.79	1404.22	1409.56	5459	0	26
2019.08.01	08:00:00	1409.56	1409.66	1402.74	1404.81	6809	0	23
2019.08.01	12:00:00	1404.81	1408.12	1401.56	1406.16	7063	0	23
2019.08.01	16:00:00	1406.06	1419.98	1400.39	1418.91	15613	0	23
2019.08.01	20:00:00	1418.91	1445.90	1417.01	1443.87	16782	0	23
2019.08.02	00:00:00	1444.74	1448.60	1435.46	1441.69	7617	0	23
2019.08.02	04:00:00	1441.74	1441.78	1430.24	1432.28	10434	0	23
2019.08.02	08:00:00	1432.28	1440.04	1431.47	1436.38	10746	0	23
2019.08.02	12:00:00	1436.38	1441.81	1433.08	1434.15	9325	0	24
2019.08.02	16:00:00	1434.25	1447.84	1430.88	1446.86	13539	0	23
2019.08.02	20:00:00	1446.86	1447.86	1439.31	1440.89	6643	0	23
2019.08.05	00:00:00	1439.85	1444.32	1436.68	1443.28	3640	0	23
2019.08.05	04:00:00	1443.28	1455.93	1439.24	1453.06	11127	0	23
2019.08.05	08:00:00	1452.99	1459.64	1450.89	1457.17	8764	0	23
2019.08.05	12:00:00	1457.17	1463.49	1455.79	1462.58	8055	0	23
2019.08.05	16:00:00	1462.57	1469.59	1452.86	1465.63	13760	0	23
2019.08.05	20:00:00	1465.72	1469.65	1459.68	1463.62	8387	0	23
2019.08.06	00:00:00	1468.57	1474.75	1466.51	1470.06	5694	0	24
2019.08.06	04:00:00	1470.06	1470.06	1456.36	1462.98	10817	0	23
2019.08.06	08:00:00	1462.97	1465.14	1458.41	1462.18	8385	0	23
2019.08.06	12:00:00	1462.15	1467.14	1460.86	1465.62	6579	0	23
2019.08.06	16:00:00	1465.72	1473.73	1463.05	1471.33	12002	0	24
2019.08.06	20:00:00	1471.34	1474.28	1468.20	1474.27	6202	0	23
2019.08.07	00:00:00	1473.46	1479.69	1472.14	1477.57	3839	0	23
2019.08.07	04:00:00	1477.56	1490.04	1474.40	1484.76	9407	0	26
2019.08.07	08:00:00	1484.76	1491.16	1481.18	1486.83	8409	0	23
2019.08.07	12:00:00	1486.73	1499.17	1485.88	1497.30	9528	0	24
2019.08.07	16:00:00	1497.33	1510.28	1494.73	1504.94	16737	0	23
2019.08.07	20:00:00	1504.92	1508.82	1493.83	1500.94	12175	0	23
2019.08.08	00:00:00	1500.29	1506.62	1495.56	1504.32	4458	0	24
2019.08.08	04:00:00	1504.29	1505.57	1491.68	1500.83	9532	0	23
2019.08.08	08:00:00	1500.83	1503.69	1495.56	1496.59	7526	0	24
2019.08.08	12:00:00	1496.57	1501.07	1491.92	1492.16	7831	0	23
2019.08.08	16:00:00	1492.05	1498.58	1489.93	1495.55	12133	0	23
2019.08.08	20:00:00	1495.45	1509.42	1494.05	1500.91	8605	0	24
2019.08.09	00:00:00	1505.15	1508.74	1500.48	1502.60	5131	0	23
2019.08.09	04:00:00	1502.80	1507.79	1499.19	1506.25	6222	0	25
2019.08.09	08:00:00	1506.25	1507.98	1500.32	1502.33	7564	0	23
2019.08.09	12:00:00	1502.33	1504.34	1495.39	1499.57	5994	0	24
2019.08.09	16:00:00	1499.47	1505.83	1494.73	1499.83	13341	0	24
2019.08.09	20:00:00	1499.83	1500.28	1495.02	1496.98	6363	0	23
2019.08.12	00:00:00	1497.75	1501.40	1494.69	1498.44	3856	0	23
2019.08.12	04:00:00	1498.44	1498.44	1495.14	1496.67	5401	0	25
2019.08.12	08:00:00	1496.67	1503.97	1487.64	1502.71	10181	0	23
