<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.16	00:00:00	49475.10	49605.00	49436.50	49602.00	6733	0	500
2026.02.16	04:00:00	49602.50	49612.00	49537.50	49543.00	5619	0	500
2026.02.16	08:00:00	49544.00	49747.00	49540.00	49727.00	8454	0	500
2026.02.16	12:00:00	49726.50	49733.50	49652.50	49697.00	8785	0	500
2026.02.16	16:00:00	49697.50	49700.00	49485.00	49550.50	21285	0	500
2026.02.17	00:00:00	49507.40	49614.50	49345.00	49365.50	8238	0	500
2026.02.17	04:00:00	49366.00	49416.50	49282.50	49301.00	12784	0	500
2026.02.17	08:00:00	49300.50	49527.00	49294.00	49503.00	14478	0	500
2026.02.17	12:00:00	49503.50	49518.50	49268.50	49404.00	19498	0	500
2026.02.17	16:00:00	49403.00	49716.00	49164.04	49462.96	62042	0	500
2026.02.17	20:00:00	49463.45	49685.79	49373.63	49542.81	38467	0	500
2026.02.18	00:00:00	49542.10	49557.05	49471.50	49517.50	6531	0	500
2026.02.18	04:00:00	49518.50	49598.00	49498.50	49581.00	5050	0	500
2026.02.18	08:00:00	49582.50	49802.00	49572.00	49756.00	8600	0	500
2026.02.18	12:00:00	49756.50	49803.00	49552.50	49569.00	12794	0	500
2026.02.18	16:00:00	49570.00	49895.00	49421.00	49827.24	41167	0	500
2026.02.18	20:00:00	49825.24	49856.77	49526.27	49642.24	32336	0	500
2026.02.19	00:00:00	49610.40	49685.80	49604.30	49657.80	6336	0	500
2026.02.19	04:00:00	49657.30	49682.80	49607.80	49669.30	5696	0	500
2026.02.19	08:00:00	49668.80	49719.30	49516.30	49559.80	11614	0	500
2026.02.19	12:00:00	49559.30	49568.80	49447.80	49481.80	16653	0	500
2026.02.19	16:00:00	49480.80	49601.53	49264.35	49287.26	52938	0	500
2026.02.19	20:00:00	49286.76	49423.63	49193.40	49352.08	32549	0	500
2026.02.20	00:00:00	49373.10	49471.50	49369.10	49442.50	5204	0	500
2026.02.20	04:00:00	49443.50	49498.00	49430.00	49494.50	5450	0	500
2026.02.20	08:00:00	49494.00	49548.50	49450.50	49468.00	8934	0	500
2026.02.20	12:00:00	49468.50	49483.00	49258.00	49315.00	17219	0	500
2026.02.20	16:00:00	49314.00	49712.55	49149.50	49428.71	59734	0	500
2026.02.20	20:00:00	49430.71	49662.24	49312.62	49624.00	36724	0	500
2026.02.23	00:00:00	49569.10	49619.50	49335.50	49339.50	10904	0	500
2026.02.23	04:00:00	49339.00	49362.00	49291.50	49328.50	6793	0	500
2026.02.23	08:00:00	49327.00	49504.00	49321.50	49491.00	8655	0	500
2026.02.23	12:00:00	49491.50	49537.00	49336.55	49424.50	11556	0	500
2026.02.23	16:00:00	49424.00	49711.50	48765.02	48869.55	51905	0	500
2026.02.23	20:00:00	48871.05	49009.01	48726.53	48838.35	32962	0	500
2026.02.24	00:00:00	48847.05	48870.00	48815.50	48839.00	7388	0	500
2026.02.24	04:00:00	48840.00	48900.00	48833.00	48855.50	5541	0	500
2026.02.24	08:00:00	48856.50	48905.50	48772.00	48882.50	12197	0	500
2026.02.24	12:00:00	48882.00	48970.00	48823.50	48956.50	13359	0	500
2026.02.24	16:00:00	48956.00	49260.00	48754.50	49222.26	42482	0	500
2026.02.24	20:00:00	49223.26	49292.47	49139.20	49147.75	21295	0	500
2026.02.25	00:00:00	49164.85	49229.80	49140.30	49225.80	4937	0	500
2026.02.25	04:00:00	49224.30	49242.30	49090.80	49172.30	8530	0	500
2026.02.25	08:00:00	49171.80	49262.80	49161.30	49256.30	8764	0	500
2026.02.25	12:00:00	49256.80	49369.30	49222.80	49360.80	7912	0	500
2026.02.25	16:00:00	49362.30	49488.18	49199.01	49482.20	37364	0	500
2026.02.25	20:00:00	49482.70	49532.78	49424.27	49449.75	19221	0	500
2026.02.26	00:00:00	49457.10	49490.00	49376.00	49427.00	7652	0	500
2026.02.26	04:00:00	49426.50	49432.50	49373.00	49383.50	4647	0	500
2026.02.26	08:00:00	49384.00	49465.50	49359.00	49434.50	8722	0	500
2026.02.26	12:00:00	49435.00	49622.50	49416.00	49594.00	7974	0	500
